clustername	focusname	focusgroup	domain	subcellular_location	complex	focussubclass	talistnumber	representative	samesetproteins	pname	msexperiment_id	quantanalrun	msruns	mssamples	msfractions	proteinscore	msrank	mw	totalpsm	qupm	qusm	qusmsfiltered	qusmscancelled	means2i	link2fcpage	sumionarea_protein_126	sumionarea_protein_127L	sumionarea_protein_127H	sumionarea_protein_128L	sumionarea_protein_128H	sumionarea_protein_129L	sumionarea_protein_129H	sumionarea_protein_130L	sumionarea_protein_130H	sumionarea_protein_131L	ref_BC_pname	rel_fc_protein_126	rel_fc_protein_127L	rel_fc_protein_127H	rel_fc_protein_128L	rel_fc_protein_128H	rel_fc_protein_129L	rel_fc_protein_129H	rel_fc_protein_130L	rel_fc_protein_130H	rel_fc_protein_131L	ic50	ic50confidence	inhibitn	hill	ic50final	qcval	link2curve	log2_rel_fc_protein_126	log2_rel_fc_protein_127L	log2_rel_fc_protein_127H	log2_rel_fc_protein_128L	log2_rel_fc_protein_128H	log2_rel_fc_protein_129L	log2_rel_fc_protein_129H	log2_rel_fc_protein_130L	log2_rel_fc_protein_130H	log2_rel_fc_protein_131L	deltaconf_126	deltaconf_127L	deltaconf_127H	deltaconf_128L	deltaconf_128H	deltaconf_129L	deltaconf_129H	deltaconf_130L	deltaconf_130H	deltaconf_131L	fractionabundance_126	fractionabundance_127L	fractionabundance_127H	fractionabundance_128L	fractionabundance_128H	fractionabundance_129L	fractionabundance_129H	fractionabundance_130L	fractionabundance_130H	fractionabundance_131L	ms1seqs	ms1intensity	ms1maxminusmin	
TMEM173	n/d	n/d	n/d	transmembrane	n/d	n/d	0	IPI00257059.2	 	P0140703A	46381	QV1_46381	R1	s01	F1	220	1	42193	5	4	4	1	0	0.77025	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=44137&representative=IPI00257059.2	171156247.408	186832356.23	203664688.121	199005764.605	94771296.935	100800754.437	3457167.202	4774787.324	5259819.001	5652182.067	P0140703A	1.0	1.091589	1.189934	1.162714	0.553712	0.58894	0.020199	0.027897	0.030731	0.033024	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.126429761684	0.250881556295	0.217496271769	-0.852792306714	-0.763807432159	-5.62957231911	-5.16374620456	-5.02416147616	-4.9203413139	0.0	0.05	0.107	0.124	0.075	0.106	0.032	0.036	0.042	0.053	17.5477366444	19.1549244239	20.8806535842	20.4029990192	9.71639531274	10.3345634133	0.354444903502	0.489533462922	0.539261172317	0.579488063566	4	6.9219	0.1429	
CEPT1	n/d	n/d	n/d	transmembrane	n/d	n/d	0	IPI00005775.3	 	P0140703A	46381	QV1_46381	R1	s01	F1	45	2	46554	1	1	1	0	0	0.993	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=1165729&representative=IPI00005775.3	10677078.059	11753341.979	12389644.207	11797798.137	9290244.694	9742780.112	658663.903	615902.631	498940.467	721004.571	P0140703A	1.0	1.100801	1.160397	1.104965	0.870111	0.912495	0.06169	0.057685	0.04673	0.067528	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.13855368574	0.214618470822	0.14400067267	-0.200728637679	-0.132111441207	-4.01881954351	-4.11565997037	-4.41950715257	-3.88837036042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.6680836172	17.2474476529	18.1811896804	17.3126848645	13.6329742918	14.2970476207	0.966556678786	0.903806628484	0.732170441554	1.05803852369	1	6.6041	n/d	
RAB5B	n/d	n/d	RAB	n/d	n/d	n/d	0	IPI00017344.3	 	P0140703A	46381	QV1_46381	R1	s01	F1	262	1	23707	4	3	4	0	0	0.939	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=54020&representative=IPI00017344.3	23513462.959	24465661.709	30372977.346	31711578.179	34188813.518	25426191.073	87194406.166	81480641.59	94060848.238	82177069.811	P0140703A	1.0	1.040496	1.291727	1.348656	1.45401	1.081346	3.708276	3.465276	4.000298	3.494894	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.0572714189019	0.369301195912	0.431522408789	0.540037191473	0.112828218369	1.89074862503	1.79297026375	2.00010747678	1.80524869938	0.0	0.262	0.131	0.496	0.447	0.213	1.648	1.572	2.166	1.8	4.56934404825	4.75438372951	5.9023455416	6.16247429252	6.64387256942	4.94104228934	16.9443880534	15.834038795	18.2787357957	15.9693748853	3	6.4455	0.6247	
LRCH4	n/d	n/d	LRR_TYP, LRR, CH	n/d	n/d	n/d	0	IPI00000173.4	 	P0140703A	46381	QV1_46381	R1	s01	F1	50	1	89610	2	1	1	1	0	0.747	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=64595&representative=IPI00000173.4	13305478.002	12488454.767	17966625.365	15824288.764	11172084.858	11522826.203	2698767.098	2537511.337	1837476.651	1567266.773	P0140703A	1.0	0.938595	1.350318	1.189306	0.839661	0.866021	0.202831	0.190712	0.138099	0.117791	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.0914253198977	0.433299202089	0.250119958048	-0.252121115012	-0.207526085838	-2.30164992909	-2.39053247098	-2.85622522207	-3.08569878281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.6341441732	13.7355341562	19.7607471042	17.4044798072	12.2877134142	12.6734792927	2.96826215459	2.7909036219	2.02096446454	1.72377181117	1	6.208	n/d	
RPS4X	n/d	n/d	S4	n/d	n/d	n/d	0	IPI00217030.10	 	P0140703A	46381	QV1_46381	R1	s01	F1	513	1	29598	13	11	11	2	0	0.869	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=1160087&representative=IPI00217030.10	147123275.463	141988295.262	212640201.816	187910620.271	161811259.57	175720991.569	16359332.288	11374290.309	6271975.585	8806816.192	P0140703A	1.0	0.9645	1.44316	1.273049	1.102774	1.19717	0.111714	0.077815	0.04249	0.060752	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.052146856613	0.529231257147	0.34828795003	0.141137158575	0.259628031766	-3.16211809917	-3.6838079068	-4.55673284612	-4.04092428571	0.0	0.131	0.174	0.155	0.127	0.124	0.064	0.059	0.034	0.05	13.7497481272	13.2698466012	19.8727849654	17.5616243658	15.1224478671	16.422414245	1.52889947414	1.06301077367	0.586162075867	0.823061504453	11	7.2223	0.0837	
CNR1	Cannabinoid type 1	GPCR	n/d	transmembrane	n/d	Rhodopsin like	0	IPI00009396.1	 	P0140703A	46381	QV1_46381	R1	s01	F1	33	1	52858	2	1	1	1	0	0.78	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=1164462&representative=IPI00009396.1	5596487.48	6232239.902	6852167.841	5592757.414	5125590.356	5506918.564	1526003.351	1419695.837	1249068.367	1356476.124	P0140703A	1.0	1.113598	1.224369	0.999333	0.915858	0.983996	0.272672	0.253676	0.223188	0.24238	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.15522852525	0.292038422607	-0.000962598654624	-0.126804163133	-0.0232756439488	-1.87476153374	-1.97894106078	-2.16366863405	-2.04465743523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.8330361212	15.4044478771	16.9367456984	13.8238163851	12.6691030384	13.6116454624	3.77187647626	3.50911243249	3.08736647769	3.35285003101	1	6.1161	n/d	
TRAP1	n/d	n/d	HATPase_c	n/d	n/d	n/d	0	IPI00030275.5	 	P0140703A	46381	QV1_46381	R1	s01	F1	454	1	80110	11	8	8	3	0	0.813125	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=35430&representative=IPI00030275.5	160467424.091	188706482.344	184612718.687	160650140.761	117928979.634	115252442.19	2872977.661	4593646.071	2399020.959	2984172.326	P0140703A	1.0	1.175744	1.14987	1.001517	0.730776	0.714831	0.01751	0.028037	0.014372	0.018262	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.233573969923	0.201470764685	0.00218691002485	-0.452498840847	-0.484325893949	-5.835677106	-5.15652420265	-6.12059534932	-5.77501141612	0.0	0.12	0.15	0.137	0.178	0.194	0.041	0.05	0.036	0.04	17.0625075266	20.0651677033	19.6298776524	17.0819357973	12.5393930513	12.2547967194	0.305483827899	0.488442567735	0.2550879931	0.31730716101	8	6.8894	0.4028	
LDHB	LDHB	OXIDOREDUCTASE	n/d	n/d	n/d	C1 alcohol dehydrogenase	0	IPI00219217.3	 	P0140703A	46381	QV1_46381	R1	s01	F1	424	1	36638	10	7	8	2	0	0.833125	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=15043&representative=IPI00219217.3	251428040.689	241282311.531	330061070.736	309796122.79	312675897.737	316227856.441	84040271.645	83435119.078	110983174.795	109551539.028	P0140703A	1.0	0.960306	1.312252	1.234009	1.245098	1.257653	0.335699	0.332246	0.439944	0.436656	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.0584339032837	0.392044796358	0.303352916536	0.316259299361	0.33073392203	-1.57475985543	-1.58967626428	-1.18460819856	-1.19543093079	0.0	0.095	0.145	0.134	0.19	0.201	0.115	0.084	0.079	0.098	11.6971489107	11.2251406795	15.3553815376	14.4125984131	14.5465737497	14.7118209901	3.90979291425	3.88163949241	5.16325354405	5.09664976865	7	7.5971	0.3547	
PTGS1	PTGS1	OXIDOREDUCTASE	EGF	n/d	n/d	C14 pair donor oxygenase	0	IPI00298267.4	 	P0140703A	46381	QV1_46381	R1	s01	F1	165	1	71717	3	3	3	0	0	0.857333333333	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=1155887&representative=IPI00298267.4	36579663.768	38328930.016	44279339.073	39057358.637	50416046.868	36432868.809	31510839.116	37058583.863	15216337.807	14800589.734	P0140703A	1.0	1.047821	1.210491	1.067734	1.378253	0.995987	0.861431	1.013093	0.415978	0.404613	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.0673922813134	0.27559235294	0.0945522793487	0.462840741701	-0.00580118307386	-0.215192852639	0.0187666168639	-1.26542086491	-1.30538542122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.6435068698	11.1524871449	12.8838649968	11.3644364696	14.6694497957	10.6007942532	9.16864175492	10.78285723	4.42746540835	4.30649607689	3	6.6718	0.6178	
P2RY8	Proteinase-activated type 2	GPCR	n/d	transmembrane	n/d	Rhodopsin like	0	IPI00329027.1	 	P0140703A	46381	QV1_46381	R1	s01	F1	234	1	40635	7	4	4	3	0	0.8725	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=1169618&representative=IPI00329027.1	17744853.376	19164341.465	23129284.149	24033993.36	21416563.532	22260673.817	11718929.411	11292861.813	8685142.034	6781921.674	P0140703A	1.0	1.079994	1.303436	1.354421	1.206917	1.254486	0.660413	0.636402	0.489446	0.3807	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.111023297394	0.382319746856	0.437676247189	0.271326464986	0.327096370434	-0.598559575407	-0.6519897253	-1.03077839712	-1.39327352499	0.0	0.222	0.209	0.356	0.35	0.458	0.698	0.502	0.517	0.403	10.6749723884	11.5289099124	13.9141453819	14.4584015469	12.8838046455	13.3916056283	7.04988907112	6.79357476139	5.22481924408	4.07987742002	4	7.3636	2.0954	
ODZ3	n/d	n/d	EGF_like, EGF	transmembrane	n/d	n/d	0	IPI00398020.7	 	P0140703A	46381	QV1_46381	R1	s01	F1	75	1	300950	3	2	2	1	0	0.727	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=1147949&representative=IPI00398020.7	12909868.894	12735001.186	12855377.791	12894797.245	10078958.927	10594886.992	2575167.611	2362617.11	2551369.176	2240606.295	P0140703A	1.0	0.986455	0.995779	0.998833	0.780717	0.820681	0.199473	0.183009	0.197629	0.173558	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	-0.0196748551475	-0.00610250418246	-0.00168460827294	-0.357128410395	-0.285106541764	-2.32573461361	-2.45001349591	-2.33913343194	-2.52651022846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.7824960441	15.568717815	15.7158799053	15.7640707415	12.3216688488	12.9523981546	3.14817857308	2.88833260031	3.11908465204	2.73917266531	2	6.2053	0.3144	
HYPOTHETICAL PROTEIN (FRAGMENT).	n/d	n/d	GTP_EFTU_D3	n/d	n/d	n/d	0	IPI00185742.1	 	P0140703A	46381	QV1_46381	R1	s01	F1	56	2	17044	1	1	1	0	0	0.902	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=1270625&representative=IPI00185742.1	18950813.112	23119626.906	23902701.088	25377837.604	20726723.644	22645576.868	1201744.532	983289.315	1418598.525	1255958.256	P0140703A	1.0	1.219981	1.261302	1.339142	1.093712	1.194966	0.063414	0.051886	0.074857	0.066275	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.286858679412	0.334913748892	0.421308949336	0.129232892727	0.256969570232	-3.97905480839	-4.26851086998	-3.73971895842	-3.91539142468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.5767470123	16.5633697966	17.1243800286	18.1811977582	14.8490453494	16.2237507313	0.860954165286	0.704448415523	1.01631276569	0.899793977119	1	6.4176	n/d	
IARS2	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00017283.2	 	P0140703A	46381	QV1_46381	R1	s01	F1	565	1	113792	12	11	11	1	0	0.831272727273	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=1149995&representative=IPI00017283.2	211128970.453	244748793.59	297306026.157	265479330.236	237894337.042	240683381.058	21150089.48	23304425.733	17913996.847	16057820.729	P0140703A	1.0	1.159645	1.408205	1.258054	1.127992	1.140336	0.09812	0.109252	0.081542	0.073199	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.213683223349	0.493857370165	0.331193848974	0.173756835821	0.189458977119	-3.34930895588	-3.19426840451	-3.61631284719	-3.77203225035	0.0	0.07	0.079	0.124	0.088	0.095	0.097	0.107	0.125	0.124	13.3993380262	15.5330261393	18.8685803428	16.8486933705	15.0980068235	15.2750140028	1.34229422716	1.47901956435	1.13691502704	1.01911247637	11	7.0369	0.1718	
FAM49B	n/d	n/d	n/d	n/d	n/d	n/d	0	IPI00303318.2	 	P0140703A	46381	QV1_46381	R1	s01	F1	54	1	36748	2	2	2	0	0	0.8345	http://hdb-lims/CP/msexperiment/proteindetailboot/submitFlyPFCparams?msexperiment_id=46381&cluster_id=30131&representative=IPI00303318.2	15203225.65	18077250.186	18385649.705	17909178.355	17959558.483	17576987.166	2986284.623	3122547.233	2443237.568	2478136.82	P0140703A	1.0	1.18904	1.209326	1.177985	1.181299	1.156135	0.196424	0.205387	0.160705	0.163001	n/d	n/d	n/d	n/d	n/d	n/d	n/d	0.0	0.249797249004	0.274203206692	0.236321168571	0.24037417322	0.209309868824	-2.34795687926	-2.28358322593	-2.63751327874	-2.61704727957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0901985045	15.5647754495	15.8303119228	15.4200631574	15.4634411807	15.13404171	2.57123451338	2.68855860333	2.10366309723	2.13371186102	2	6.5389	1.3613	
